postcode,message
BT369SD,No coordinates found for postcode
BT369SE,No coordinates found for postcode
BT369SF,No coordinates found for postcode
BT369SG,No coordinates found for postcode
BT369SH,No coordinates found for postcode
BT369SL,No coordinates found for postcode
BT369SN,No coordinates found for postcode
BT369SP,No coordinates found for postcode
BT369SQ,No coordinates found for postcode
BT369SR,No coordinates found for postcode
BT369SS,No coordinates found for postcode
BT369ST,No coordinates found for postcode
BT369SU,No coordinates found for postcode
BT369SW,No coordinates found for postcode
BT369SX,No coordinates found for postcode
BT369SY,No coordinates found for postcode
BT369SZ,No coordinates found for postcode
BT369TA,No coordinates found for postcode
BT369TB,No coordinates found for postcode
BT369TD,No coordinates found for postcode
BT369TE,No coordinates found for postcode
BT369TF,No coordinates found for postcode
BT369ZZ,No coordinates found for postcode
BT380BN,No coordinates found for postcode
BT380DG,No coordinates found for postcode
BT380DH,No coordinates found for postcode
BT380SA,No coordinates found for postcode
BT380SB,No coordinates found for postcode
BT380SD,No coordinates found for postcode
BT380SE,No coordinates found for postcode
BT380SF,No coordinates found for postcode
BT380SG,No coordinates found for postcode
BT380SH,No coordinates found for postcode
BT380SJ,No coordinates found for postcode
BT380SL,No coordinates found for postcode
BT380SN,No coordinates found for postcode
BT380SP,No coordinates found for postcode
BT380SQ,No coordinates found for postcode
BT380SR,No coordinates found for postcode
BT380SS,No coordinates found for postcode
BT380ST,No coordinates found for postcode
BT380SU,No coordinates found for postcode
BT380SW,No coordinates found for postcode
BT387WA,No coordinates found for postcode
BT388GF,No constituency found for postcode
BT391BD,No coordinates found for postcode
BT399XW,No coordinates found for postcode
BT4 3YR,No coordinates found for postcode
BT4 9AQ,No coordinates found for postcode
BT4 9EU,No coordinates found for postcode
BT4 9FG,No coordinates found for postcode
BT4 9FJ,No coordinates found for postcode
BT4 9FP,No coordinates found for postcode
BT4 9FR,No coordinates found for postcode
BT4 9FS,No coordinates found for postcode
BT4 9FT,No coordinates found for postcode
BT409BD,No coordinates found for postcode
BT409BN,No coordinates found for postcode
BT409BP,No coordinates found for postcode
BT409BZ,No coordinates found for postcode
BT409SA,No coordinates found for postcode
BT409SB,No coordinates found for postcode
BT409SD,No coordinates found for postcode
BT409SE,No coordinates found for postcode
BT409SF,No coordinates found for postcode
BT409SG,No coordinates found for postcode
BT409SH,No coordinates found for postcode
BT409SJ,No coordinates found for postcode
BT409SL,No coordinates found for postcode
BT409SN,No coordinates found for postcode
BT409SQ,No coordinates found for postcode
BT409SR,No coordinates found for postcode
BT409SS,No coordinates found for postcode
BT409ST,No coordinates found for postcode
BT419AY,No coordinates found for postcode
BT419SE,No coordinates found for postcode
BT419SP,No coordinates found for postcode
BT421WZ,No coordinates found for postcode
BT429BL,No coordinates found for postcode
BT429BN,No coordinates found for postcode
BT429DG,No coordinates found for postcode
